TWEETID,TWEET,TIMESTAMP,AUTHOR,LAT,LONG,URL,inlon,inlat,inokc
339075899968331000,Caleb has a lemonade stand for #tornadovictims at #swatekpark #okc - hurry to get yours! @ caleb's‰Û_ http://t.co/Qb3HO4Pnjm,5/27/13 17:49,sscriv,35.4931,-97.4591,http://instagram.com/p/Z0vg9CxCRk/,TRUE,TRUE,TRUE
339075422199377000,Was introduced to some of the best food on I have ever eaten yesterday!  At the Shack in OKC! http://t.co/LK3i2VMDeZ,5/27/13 17:47,Skullywire,35.3956,-97.5969,http://instagram.com/p/Z0vWRehdvO/,TRUE,TRUE,TRUE
339076789714427000,#Regram from a rooftop session a few months ago. Can't wait to get back to #OKC to do big things in‰Û_ http://t.co/WOMvloWuM8,5/27/13 17:53,fogi_bear,35.3956,-97.5969,http://instagram.com/p/Z0vy53GCVq/,TRUE,TRUE,TRUE
339076993951887000,My lil lovies. #heart #soul #babies #love #life #okc #shades #toocool #brotherandsister #happy http://t.co/gSBhXNFx9X,5/27/13 17:53,lilshelbyshel,35.4931,-97.4591,http://instagram.com/p/Z0wHOtNe3A/,TRUE,TRUE,TRUE
339080273088086000,Working in the @rfbo Volunteer Center today. #hairnets #beardnet #beard @ Regional Food Bank of Oklahoma http://t.co/BlFZU2OBKv,5/27/13 18:06,OrionSurgeon,35.4312,-97.6139,http://instagram.com/p/Z0xd-DNtqS/,TRUE,TRUE,TRUE
339078852678676000,LOVE OKC lobby table construction goin' down. This photo was not staged at all. stephen_kramer‰Û_ http://t.co/kY7Y7S4GDz,5/27/13 18:01,lauren_sheppard,35.4931,-97.4591,http://instagram.com/p/Z0xEhSGYwH/,TRUE,TRUE,TRUE
339081025223282000,#oklahoma #oklahomaproud #oklahomastrong http://t.co/xFE2n1Wdvi,5/27/13 18:09,Trixies405,35.4931,-97.4591,http://instagram.com/p/Z0yBakyMMN/,TRUE,TRUE,TRUE
339088761860268000,"RT @KeriHilson: OKLAHOMA, I am with you. We are with you. In spirit and action. We can't and won't forget. http://t.co/uuJeiFxM6n",5/27/13 18:40,emperormelton,35.3343,-97.4769,http://instagram.com/p/Z0yHqTrFCV/,TRUE,TRUE,TRUE
339125802744549000,"RT @KeriHilson: OKLAHOMA, I am with you. We are with you. In spirit and action. We can't and won't forget. http://t.co/uuJeiFxM6n",5/27/13 21:07,YolandaWilliam9,35.4931,-97.4591,http://instagram.com/p/Z0yHqTrFCV/,TRUE,TRUE,TRUE
339168602471141000,"RT @KeriHilson: OKLAHOMA, I am with you. We are with you. In spirit and action. We can't and won't forget. http://t.co/uuJeiFxM6n",5/27/13 23:57,MissAngelaSharp,35.4931,-97.4591,http://instagram.com/p/Z0yHqTrFCV/,TRUE,TRUE,TRUE
339230421474746000,Drinking #OKC beer for a good cause. @ James E. McNellie's Public House http://t.co/voIscc0wwO,5/28/13 4:03,AugustaGolfGirl,35.4793,-97.5213,http://instagram.com/p/Z11_0FAPXh/,TRUE,TRUE,TRUE
339231915842338000,RT @AugustaGolfGirl: Drinking #OKC beer for a good cause. @ James E. McNellie's Public House http://t.co/voIscc0wwO,5/28/13 4:09,CoreyBMiles,35.4931,-97.4591,http://instagram.com/p/Z11_0FAPXh/,TRUE,TRUE,TRUE
339231992493268000,The Seed Sower statue #ou #oklahoma #university #normanok #norman #skyporn #sky #sunset #tree #statue‰Û_ http://t.co/jWHIWu8X7C,5/28/13 4:09,Bosloh93,35.204,-97.4457,http://instagram.com/p/Z12kYPzXsi/,TRUE,TRUE,TRUE
339235294266130000,"Oklahoma beers on deck: Anthem Golden One, Black Mesa ESB, Rough Tail 12th Round, Mustang Seasonal,‰Û_ http://t.co/ce1GGVQmxG",5/28/13 4:22,AugustaGolfGirl,35.4793,-97.5213,http://instagram.com/p/Z139x9gPZZ/,TRUE,TRUE,TRUE
339244917991821000,Wow. Came home to this sitting at my door. What a blessing while stores are closed. #moore #oklahoma‰Û_ http://t.co/XVwXHCceKB,5/28/13 5:01,andyhinkle91,35.3343,-97.4769,http://instagram.com/p/Z18dABjzaD/,TRUE,TRUE,TRUE
339171468560699000,Beautiful way to start Oklahoma Annual Conference with the Africa University Choir! #ac2013 #okumc http://t.co/Kx6J7yKDmi,5/28/13 0:09,anelms,35.4931,-97.4591,http://instagram.com/p/Z1abPDpBNK/,TRUE,TRUE,TRUE
339113810621243000,I've grown to love this place so much ever since I moved to Oklahoma to attend OU four years ago.. and‰Û_ http://t.co/K2hxdbG5aU,5/27/13 20:20,Kelley_Jones,35.363,-97.5118,http://instagram.com/p/Z1AeGapmsN/,TRUE,TRUE,TRUE
339171585703411000,#Oklahoma #Oklahoma #edmond #edmondok #ronperry #localazguy #mysanctury #belltower #oldglory‰Û_ http://t.co/CN2cWmh6P7,5/28/13 0:09,RonPerryJr,35.6055,-97.4964,http://instagram.com/p/Z1bARvOT7E/,TRUE,TRUE,TRUE
339172766559375000,Showin love wherever you go! #OKC #Thunder #AtThePump http://t.co/flgQ2xjMiY,5/28/13 0:14,CarsonTate21,35.3917,-97.7246,http://instagram.com/p/Z1bsWkCWc1/,TRUE,TRUE,TRUE
339172813275557000,"Driving alongside these guys... #country @ Moore, Oklahoma http://t.co/QvC7Kb5K3T",5/28/13 0:14,JCSTX,35.363,-97.5118,http://instagram.com/p/Z1bsxhKiGi/,TRUE,TRUE,TRUE
339140797188415000,"Welcome! RT @AugustaGolfGirl: Goodbye, Texas! Hello, Oklahoma! #liveitroadtrip @ Oklahoma Welcome Center http://t.co/1Pd6FC1GNp",5/27/13 22:07,CoreyBMiles,35.4931,-97.4591,http://instagram.com/p/Z1C_XlAPXq/,TRUE,TRUE,TRUE
