tweetid,tweet,timestamp,author,lat,lon,url,imgurl
339207647054147,Oklahoma skies???? #nofilter http://t.co/JQY8UkH7Id,5/28/2013 2:32:00,jaycee_claire,35.5224,-97.7602,http://instagram.com/p/Z1roFhDlFD/,http://distilleryimage7.ak.instagram.com/e43f50e2c73e11e282e122000a1f9aae_7.jpg
3392087126674141,You never know what #Oklahoma is going to show you with the #clouds. #sunset #colors #storm http://t.co/ZYn2nC4cvH,5/28/2013 2:37:00,AllStarAspieMom,35.5224,-97.7602,http://instagram.com/p/Z1rohgjuHD/,http://distilleryimage11.ak.instagram.com/e660aa74c73e11e28f8322000a9f18ae_7.jpg
339153295903961,Oklahoma City Memorial @ Oklahoma City National Memorial & Museum http://t.co/YELGDQbl7G,5/27/2013 22:57:00,bishopcj,35.473,-97.5171,http://instagram.com/p/Z1S4Ezlb0N/,http://distilleryimage9.ak.instagram.com/add16586c72011e2a22022000a1fc78f_7.jpg
339212805557338,Homie don't play. #Oklahoma #moore http://t.co/GMk8USA3LM,5/28/2013 2:53:00,exodus195,35.4931,-97.4591,http://instagram.com/p/Z1t9Utyvpy/,http://distilleryimage2.ak.instagram.com/bcf0e606c74111e286a322000a9f13d4_7.jpg
339154234756976,Carter Sampson & band @ Mission Chinese OKC Pop-Up http://t.co/Z8qJ9xcvSQ,5/27/2013 23:00:00,MyJRNY,35.4653,-97.5166,http://instagram.com/p/Z1TR_gvHK0/,http://distilleryimage4.ak.instagram.com/2c5e0440c72111e2b0d822000ae80177_7.jpg
339165409645297,Okc for ya! #Recoupin #therapy @ Deep Deuce District http://t.co/lbCVBZwWjA,5/27/2013 23:45:00,sauvemente3,35.4695,-97.5075,http://instagram.com/p/Z1YONxtPnC/,http://distilleryimage6.ak.instagram.com/346c3fcac72711e2b51f22000a9f4da7_7.jpg
339165408533827,I want... whatever these are in Oklahoma.\#prehistoricplant #austinvaca http://t.co/MnJT8TAMtb,5/27/2013 23:45:00,dewbymaster,35.4931,-97.4591,http://instagram.com/p/Z1YUF8IXMe/,http://distilleryimage2.ak.instagram.com/5120099ec72711e29ecd22000aaa08de_7.jpg
339393623860842,My handsome boy at the OKC Zoo this past Saturday. ???? http://t.co/VW22sQE4DW,5/28/2013 14:52:00,TxGrl12,35.4931,-97.4591,http://instagram.com/p/Z2_3uBGwPj/,http://distilleryimage3.ak.instagram.com/ba930a10c7a511e28f2322000a9e0753_7.jpg
339368416425177,Just posted a photo @ The Oklahoma City Zoo http://t.co/Gv8nfsG9mY,5/28/2013 13:11:00,walrusmuse,35.5232,-97.4724,http://instagram.com/p/Z20v19jC73/,http://distilleryimage11.ak.instagram.com/269d8126c79811e28b9f22000a9e0708_7.jpg
339385469487943,The Oklahoma sky is just magnificent ?? http://t.co/OV2oEgKEMz,5/28/2013 14:19:00,LaciePanties13,35.1912,-97.4413,http://instagram.com/p/Z28XJuGSVN/,http://distilleryimage5.ak.instagram.com/720ffc3ec7a111e29e7122000aaa0fd8_7.jpg
339274595783823,#TheUniversityofOklahoma #Oklahoma #Norman #university #union #1890 @ Oklahoma Memorial Union http://t.co/9b78K7Lj12,5/28/2013 6:59:00,binhisham,35.2097,-97.4444,http://instagram.com/p/Z2J6UBAenF/,http://distilleryimage1.ak.instagram.com/dc3f555cc76311e2b79822000aaa032e_7.jpg
339479343375978,"Meet Phyllis @ Oklahoma City, OK http://t.co/eLxbySWm0f",5/28/2013 20:32:00,StalkThePeacock,35.4714,-97.5188,http://instagram.com/p/Z2YqwTNsgK/,http://distilleryimage2.ak.instagram.com/dfc7ab4ac77511e2b59022000aa80136_7.jpg
339509260004241,Oklahoma is funny... http://t.co/Y8ULwQmGfQ,5/28/2013 22:31:00,chrisbrister,35.1912,-97.4413,http://instagram.com/p/Z30mA0o7TR/,http://distilleryimage9.ak.instagram.com/16a05eeec7e611e2ae2422000ae904d4_7.jpg
