tweetid,tweet,timestamp,author,lat,lon,url,imgurl
339080273088086000,Working in the @rfbo Volunteer Center today. #hairnets #beardnet #beard @ Regional Food Bank of Oklahoma http://t.co/BlFZU2OBKv,5/27/13 18:06,OrionSurgeon,35.4312,-97.6139,http://instagram.com/p/Z0xd-DNtqS/,http://distilleryimage2.ak.instagram.com/e5da3d32c6f711e2895f22000a9e4895_7.jpg
339081025223282000,#oklahoma #oklahomaproud #oklahomastrong http://t.co/xFE2n1Wdvi,5/27/13 18:09,Trixies405,35.4931,-97.4591,http://instagram.com/p/Z0yBakyMMN/,http://distilleryimage1.ak.instagram.com/92edbc06c6f811e2996722000a9f18fe_7.jpg
339088761860268000,"RT @KeriHilson: OKLAHOMA, I am with you. We are with you. In spirit and action. We can't and won't forget. http://t.co/uuJeiFxM6n",5/27/13 18:40,emperormelton,35.3343,-97.4769,http://instagram.com/p/Z0yHqTrFCV/,http://distilleryimage5.ak.instagram.com/b16cc80cc6f811e2ab6822000a1f96e8_7.jpg
339125802744549000,"RT @KeriHilson: OKLAHOMA, I am with you. We are with you. In spirit and action. We can't and won't forget. http://t.co/uuJeiFxM6n",5/27/13 21:07,YolandaWilliam9,35.4931,-97.4591,http://instagram.com/p/Z0yHqTrFCV/,http://distilleryimage5.ak.instagram.com/b16cc80cc6f811e2ab6822000a1f96e8_7.jpg
339168602471141000,"RT @KeriHilson: OKLAHOMA, I am with you. We are with you. In spirit and action. We can't and won't forget. http://t.co/uuJeiFxM6n",5/27/13 23:57,MissAngelaSharp,35.4931,-97.4591,http://instagram.com/p/Z0yHqTrFCV/,http://distilleryimage5.ak.instagram.com/b16cc80cc6f811e2ab6822000a1f96e8_7.jpg
339230421474746000,Drinking #OKC beer for a good cause. @ James E. McNellie's Public House http://t.co/voIscc0wwO,5/28/13 4:03,AugustaGolfGirl,35.4793,-97.5213,http://instagram.com/p/Z11_0FAPXh/,http://distilleryimage1.ak.instagram.com/8d1a9832c74b11e2b0a322000ae9134a_7.jpg
339231915842338000,RT @AugustaGolfGirl: Drinking #OKC beer for a good cause. @ James E. McNellie's Public House http://t.co/voIscc0wwO,5/28/13 4:09,CoreyBMiles,35.4931,-97.4591,http://instagram.com/p/Z11_0FAPXh/,http://distilleryimage1.ak.instagram.com/8d1a9832c74b11e2b0a322000ae9134a_7.jpg
339171468560699000,Beautiful way to start Oklahoma Annual Conference with the Africa University Choir! #ac2013 #okumc http://t.co/Kx6J7yKDmi,5/28/13 0:09,anelms,35.4931,-97.4591,http://instagram.com/p/Z1abPDpBNK/,http://distilleryimage10.ak.instagram.com/e4fc9be4c72911e2be4122000a1f9d51_7.jpg
339172766559375000,Showin love wherever you go! #OKC #Thunder #AtThePump http://t.co/flgQ2xjMiY,5/28/13 0:14,CarsonTate21,35.3917,-97.7246,http://instagram.com/p/Z1bsWkCWc1/,http://distilleryimage9.ak.instagram.com/71139532c72b11e2873222000a1f9e77_7.jpg
339172813275557000,"Driving alongside these guys... #country @ Moore, Oklahoma http://t.co/QvC7Kb5K3T",5/28/13 0:14,JCSTX,35.363,-97.5118,http://instagram.com/p/Z1bsxhKiGi/,http://distilleryimage6.ak.instagram.com/731eeaacc72b11e280a722000a9e28dc_7.jpg
